ID,質問日時,カテゴリ,投稿者名,経過時間,回答数,閲覧数,回答難易度,共感数,回答リアクション総数,注目度,回答競争率,注目/競争比,ランキングポテンシャル,受付終了まで,URL,本文冒頭,マイフラグ,ベストアンサーフラグ
1,2026/1/31 7:57,バイク,1152121227,6時間31分,0,27,27.0,0,0,0.069,0.0,0.0,0.07,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324851832,バイクのフロントフォーク（ファストエース台湾製）のオーバーホールをしてみようと思いパーツやツール等を揃えたのですが、どうも他のメーカーの物とは若干、形状が違うようなのです。 ファストエースのフロントフ...,0,0
2,2026/1/31 7:57,数学,ae2c390bc,6時間31分,1,22,22.0,0,0,0.056,4.55,0.01,0.18,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324851830,画像でa1.a2・・・anは0を中心とする半径1の球面上にあってa1.a2・・・anから任意の3点を選んで結んでできる三角形は正三角形で半径1の円に内接する正三角形の一辺の長さは√3って書いてあってa...,0,0
3,2026/1/31 7:57,プレイステーション4,^^,6時間31分,1,4,4.0,0,0,0.01,25.0,0.0,0.14,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324851829,至急お願いします ペルソナ5Rで三学期に突入したのですがこの時点で明智コープが6で、これでは三学期中にMAXまで上げきることができないのですか？,0,0
4,2026/1/31 7:57,経済、景気,俺たちの戦いはこれからだ！,6時間31分,1,15,15.0,0,0,0.038,6.67,0.01,0.17,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324851828,MMTでは財政赤字と言うのは民間の貯蓄欲求を満たした結果論にすぎないという考え方でいいんですよね。積極的に財政赤字を伸ばす政策でもないと思うんですけど。 なんなら莫大な貿易黒字で民間の貯蓄欲求を満たせ...,0,0
5,2026/1/31 7:57,数学,1252136087,6時間31分,2,21,10.5,0,0,0.054,9.52,0.01,0.31,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324851827,至急 やり方全然分かりません。超優しく教えていただけたら嬉しいです。解き方お願い致します,0,0
6,2026/1/31 7:57,釣り,sor********,6時間31分,2,67,33.5,0,1,0.171,2.99,0.06,0.5,不明,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324851826,川サクラマス釣りをしたいと思っていますが、リールについて、ダイワ フリームスの3000番と4000番どちらがオススメですか？ 釣りは素人で管釣りを少々と海釣りはアジングメインで少々やっていて、たまにラ...,0,0
7,2026/1/31 7:57,アニメ,ono********,6時間31分,5,61,12.2,0,0,0.156,8.2,0.02,0.79,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324851825,「閃光のハサウェイ」を見て思ったのですが、「Ξガンダム」は現実離れのデザインですよね？ 装甲とか関節とかの話です。 実現可能に近いデザインのモビルスーツは何だとおもいますか？陸上で二足歩行可能が条件で...,0,0
9,2026/1/31 7:57,友人関係の悩み,a816661eb,6時間32分,5,26,5.2,1,0,0.066,19.23,0.0,0.96,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324851823,皆さんは嫌いな人にはどんな態度取りますか？,0,0
10,2026/1/31 7:57,政治、社会問題,妖怪 厨2壁,6時間32分,4,27,6.8,0,1,0.069,14.81,0.0,0.65,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324851822,【変動相場制・日本円・金・株価】結局、誰かに全てコントロールされているのですか？,0,0
11,2026/1/31 7:57,ネイルケア,a4b6a9874,6時間32分,1,12,12.0,0,0,0.031,8.33,0.0,0.16,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324851820,ネイルについて質問です。 ネイルチップに初挑戦しようと思うのですが、ジェルネイルとポリッシュネイルどっちのほうがいいのでしょうか？ ジェルネイルのほうが長持ちするとは思いますがどこのメーカーも値段が高...,0,0
