ID,質問日時,カテゴリ,投稿者名,経過時間,回答数,閲覧数,回答難易度,共感数,回答リアクション総数,注目度,回答競争率,注目/競争比,ランキングポテンシャル,受付終了まで,URL,本文冒頭,マイフラグ,ベストアンサーフラグ
1,2026/1/30 20:17,家族関係の悩み,劉玉瑛,5時間52分,1,11,11.0,0,0,0.031,9.09,0.0,0.17,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324838339,★父方の祖父母と孫娘は親密 ★祖父母(父から見れば父母)と父(祖父母から見れば息子)は険悪 ★父母と娘も険悪 ★夫婦(娘から見れば父母)は円満 このケースなら祖父母＋孫娘vs夫婦(娘から見れば父母)で...,0,0
2,2026/1/30 20:17,恋愛相談、人間関係の悩み,PB,5時間52分,0,8,8.0,0,0,0.023,0.0,0.0,0.02,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324838337,中学生か高校生の女子に質問です（結構特殊ですが） 自分はいま中2のバド部でで身長187か8くらいあるのですが...（さすがに止まってきてるけど） ここまで高かったら、 低身長と同じく足切りされるんです...,0,0
3,2026/1/30 20:17,恋愛相談,非公開,5時間52分,1,19,19.0,0,1,0.054,5.26,0.01,0.28,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324838335,同棲していた元彼がいた女性と結婚できますか？私は無理ですね。婚姻届とか出していなかっただけで実質離婚歴あり（バツ付き）と変わらないので。 ただの彼女までならいいけど。,0,0
4,2026/1/30 20:17,恋愛相談、人間関係の悩み,ogtp,5時間52分,1,14,14.0,0,0,0.04,7.14,0.01,0.18,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324838334,道を譲る人と譲らない人はどちらが多いですか？ また、どちらの方が印象は良いですか？,0,0
5,2026/1/30 20:17,アニメ,1993年に生まれたかった男,5時間52分,0,8,8.0,0,0,0.023,0.0,0.0,0.02,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324838333,Extreme HeartsのRISEの全力Challengerですが、誰がどの歌詞を歌ってますか？ アイドルアニメの知識はかなり疎いですが、結構気になってます。 1番パートの歌詞だけでも構いません。,0,0
6,2026/1/30 20:17,英語,おやつバナナ,5時間52分,1,10,10.0,0,0,0.028,10.0,0.0,0.17,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324838332,英単語「poke」について教えて下さい。「(体の部分を）突き出す」の意味で 「Never poke your head out of a car window」→「窓から頭を出すな」はわかる のですが...,0,0
7,2026/1/30 20:17,ドラマ,jun********,5時間52分,1,10,10.0,0,0,0.028,10.0,0.0,0.17,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324838331,ドラマ相棒の血が流れているように思わせる話、チャイブを食べてしまったと思わせる話 これらって罪に問えるのでしょうか 前者は実際には血が流れていないわけですが、心理的ショックによる殺人罪にできるのでしょ...,0,0
8,2026/1/30 20:17,ゲーム,ここたま大好き,5時間52分,1,7,7.0,0,0,0.02,14.29,0.0,0.16,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324838330,２月にニンテンドーダイレクトはあると思いますか？,0,0
9,2026/1/30 20:17,恋愛相談、人間関係の悩み,#######,5時間52分,1,17,17.0,0,0,0.048,5.88,0.01,0.19,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324838329,彼氏を振る時に大好きという女性の心理はなんですか？ 振る時に傷つけないようにするとしても、大好きという言葉は私は出てこないので不思議に思いました。 やはり傷つけたくないからでしょうか,0,0
10,2026/1/30 20:17,自動車,でんでんむし,5時間52分,2,22,11.0,0,5,0.062,9.09,0.01,0.77,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324838328,今週の日曜日の2月1日に富士スピードウェイに 向かうんですけど静岡からスタッドレスなしで行けると思いますか？ 帰りとかも帰れますかね,0,0
11,2026/1/30 20:17,クレジットカード,b729f96c2,5時間52分,1,25,25.0,0,0,0.071,4.0,0.02,0.21,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324838327,至急です！！ これって詐欺ですか？ バンドルというものは使っていませんし、何かを認証した覚えもありません。,0,0
12,2026/1/30 20:17,Amazon,xlf********,5時間52分,1,27,27.0,0,0,0.076,3.7,0.02,0.22,不明,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324838326,Amazonで購入した商品が2日前から金曜日にお届け予定とあるが、20時過ぎても配達すらされていない現状です。 ずっと画像の状態です。 こんなデタラメな通知ありますか？ それに合わせて行動してるのに。...,0,0
14,2026/1/30 20:17,競馬,kk7********,5時間53分,0,4,4.0,0,0,0.011,0.0,0.0,0.01,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324838324,競馬ソフト ターゲットの質問です。添付の印とかM2の列を消す方法を教えてください。 コアな質問で恐縮です。よろしくお願いいたします。,0,0
15,2026/1/30 20:17,カラオケ,ID 非公開,5時間53分,1,44,44.0,0,0,0.125,2.27,0.06,0.27,不明,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324838325,カラオケで部屋の灯り消してTVも消せば通路からは部屋の様子は何も見えないですかっ？？,0,0
16,2026/1/30 20:17,決済、ポイントサービス,ＩＤ非公開,5時間53分,1,2,2.0,0,0,0.006,50.0,0.0,0.15,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324838322,5000円の 5%オフと 通常200円で1ポイントで、10倍のポイントバックは どちらがお得？,0,0
17,2026/1/30 20:17,メール,1151940597,5時間53分,1,12,12.0,0,0,0.034,8.33,0.0,0.18,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324838321,英検ｃｂｔについてです。 先月ｃｂｔ型で受けました。本来であれば今日合否がわかるはずでした。 ですがログインしようとした所、メールが届かずそこから数分待っても変化はなく なんならアカウントが存在しない...,0,0
18,2026/1/30 20:17,大学受験,あ,5時間53分,1,22,22.0,0,0,0.062,4.55,0.01,0.2,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324838320,至急お願いします！ 共通テスト利用で東京工科大デザイン学部に出願しました。 英語7割、政経6.5割、国語6.5割です。 パスナビのボーダーは60%〜65%くらいで超えてるのですが英検利用で高くなるとお...,0,0
19,2026/1/30 20:17,バイク,bd370097b,5時間53分,0,8,8.0,0,0,0.023,0.0,0.0,0.02,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324838319,『至急』 2E9 パッソル2について教えてください。 エンジンバリバリ調子良くかかってて 一度エンジンを切りかけようとしたらうんともすんとも言わなくなりました。何度もキャブも開けてるのですが原因がわか...,0,0
21,2026/1/30 20:17,ゲーム,har********,5時間53分,0,6,6.0,0,0,0.017,0.0,0.0,0.02,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324838316,次にやる乙女ゲームで悩んでます。 今終ヴィルをやっており、もうすぐで終わりそうなのですが次にどれを手に取ろうかと悩んでます。 薄桜鬼、剣が君、ときメモgsクリア済みです。 ストーリーがしっかりしている...,0,0
23,2026/1/30 20:16,気象、天気,awl********,5時間54分,2,7,3.5,1,0,0.02,28.57,0.0,0.58,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324838315,今のように寒い季節の方が、暑い季節よりは明らかに楽に感じるのですが理由はなぜなんだろう？,0,0
24,2026/1/30 20:16,職場の悩み,O,5時間54分,1,5,5.0,0,0,0.014,20.0,0.0,0.15,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324838314,毎年去年より生産性を上げるというのはかなり難しい事でしょうか？これもチリツモで数年後には当初の何倍だよってくらい要求される数字が上がりますよね。,0,0
25,2026/1/30 20:16,合唱、声楽,1053081772,5時間54分,1,8,8.0,0,1,0.023,12.5,0.0,0.25,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324838310,高校生男です。大きな声（腹から出す声）が出ません。調べたら腹式呼吸を意識と出てきましたが、大体いつも腹式呼吸してます。お腹に力を入れてみても変わりません。 幼稚園の頃から人見知りで本気で叫んだ記憶がな...,0,0
26,2026/1/30 20:16,男性アイドル,えあ｡,5時間54分,1,12,12.0,0,0,0.034,8.33,0.0,0.17,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324838312,至急です 旧ジャニーズのファンクラブに今日登録して明日コンビニで現金払いはできますか？ 公式の方で月末当日にお手続きをされる場合、お支払い方法はクレジットカードのみとなります。と書いてあったので、明日...,0,0
27,2026/1/30 20:16,政治、社会問題,非公開,5時間54分,7,33,4.7,0,20,0.093,21.21,0.0,2.76,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324838311,次の選挙で落ちて欲しい人は誰ですか？,0,0
28,2026/1/30 20:16,賃貸物件,sio********,5時間55分,1,22,22.0,0,0,0.062,4.55,0.01,0.2,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324838313,賃貸の1階に住んでるのですが結露が異常です。外に面してる壁と床の境目に小さな水溜まりくらいのレベルで結露します。管理会社に言ったらどうにかなるものでしょうか？ またこまめに掃除してますがどうしてもカビ...,0,0
29,2026/1/30 20:16,料理、食材,1151151468,5時間55分,1,12,12.0,0,0,0.034,8.33,0.0,0.17,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324838308,冷凍焼きおにぎりをレンジで温めて食べていたら白いカス？のようなものが目に入りました これは食べて大丈夫ですか？,0,0
30,2026/1/30 20:16,イヌ,at1mdw1÷=6^5555,5時間55分,0,6,6.0,0,0,0.017,0.0,0.0,0.02,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324838306,犬の、てんかんですが、飼い始めて2年ほどは、てんかんは起きなかっのですが、急にてんかんが始まり、もう5年ほど治らないです。 病院にもずっと通っていますが、治りません。 だんだん、てんかんが起きる感覚が...,0,0
31,2026/1/30 20:16,メイク、コスメ,ba31afdf4,5時間55分,1,9,9.0,0,2,0.025,11.11,0.0,0.33,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324838303,⚠️汚い眉毛が写ります。 私は元々眉毛の生えてる位置が左右で結構違って、今眉毛サロンに行くために眉毛を伸ばしている途中なのですが、コレって眉毛サロン行ってどうにかなりますか？サロンの方に迷惑をかけてし...,0,0
32,2026/1/30 20:16,音楽,あ,5時間55分,0,12,12.0,1,0,0.034,0.0,0.0,0.31,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324838305,ちゃんみなでは、ハレンチ、ディスタンス、命日、花火、︎^_^、B級、testme、などが好きなのですが、他にちゃんみなでおすすめの曲、もしくは、似たようなアーティスト、 雰囲気のあるアーティストの曲で...,0,0
33,2026/1/30 20:16,自動車,1052798944,5時間55分,2,14,7.0,0,0,0.039,14.29,0.0,0.32,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324838304,フィットのスタッドレスタイヤですが175 65 14と185 65 14ではどちらが雪道を安定して走れますか？,0,0
