ID,質問日時,カテゴリ,投稿者名,経過時間,回答数,閲覧数,回答難易度,共感数,回答リアクション総数,注目度,回答競争率,注目/競争比,ランキングポテンシャル,受付終了まで,URL,本文冒頭,マイフラグ,ベストアンサーフラグ
1,2026/1/21 19:58,マラソン、陸上競技,ilb********,5時間6分,0,0,0.0,0,0,0.0,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324533402,ランニングアプリのNike Run Clubについてなのですが、音声によるペースの通知や距離の通知などを減らすことはできるかご存知でしたら教えてください radikoやYouTubeでラジオなどを聴い...,0,0
2,2026/1/21 19:58,Yahoo!知恵袋,非公開,5時間6分,1,25,25.0,0,2,0.082,4.0,0.02,0.44,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324533400,どんな顔していますか？,0,0
3,2026/1/21 19:58,K-POP、アジア,とくめい,5時間6分,0,5,5.0,0,0,0.016,0.0,0.0,0.02,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324533401,IVEのリズちゃんが表紙になっているL'OFFICIEL SINGAPOREって雑誌を買おうと思ってるんですが、この雑誌ってトレカとかの封入は入ってますかね？それとも普通に雑誌だけですか？,0,0
4,2026/1/21 19:58,結婚,ric********,5時間6分,4,118,29.5,0,11,0.385,3.39,0.11,2.11,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324533399,挙式予定です。どこにも吐き出せず、愚痴です。ごめんなさい 結婚式の契約をした式場が、進行を決めれば決めるほど想定していたものと違って絶望しています ①料金が高い 一番最初の見積もりが最低ランクばかりだ...,0,0
5,2026/1/21 19:58,哲学、倫理,krlf,5時間6分,1,7,7.0,0,0,0.023,14.29,0.0,0.19,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324533398,ドストエフスキーの五大長編の新訳を刊行しながら、亀山郁夫氏が一方で打ち出した一連のドストエフスキー論で、注目したいものがあれば、挙げて教えて下さい。,0,0
6,2026/1/21 19:58,ドラマ,川野名 倫,5時間6分,2,20,10.0,0,3,0.065,10.0,0.01,0.68,不明,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324533397,日本テレビ系列の人気ドラマ「ハケンの品格」の第3期は何時頃放送ですか？水曜ドラマ枠で放送ですか？。,0,0
7,2026/1/21 19:58,大学受験,なななな,5時間6分,0,49,49.0,0,0,0.16,0.0,0.0,0.16,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324533396,南山法学部志望高三です。河合と駿台の共テリサーチの結果についてです。 南山法学部3科目共テ利用の判定が河合、駿台ともにA判定でした。247/300で881人中118位でした。南山法学部3科目共テ利用で...,0,0
8,2026/1/21 19:58,スロット,1151304846,5時間6分,0,12,12.0,0,0,0.039,0.0,0.0,0.04,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324533395,マイジャグやキングハナハナ(メインノーマル)の角の扱い方について 全ての角ではありませんが、特日に目につきやすい角の挙動を打ったり座ったりして見ると、朝不調な感じでそこそこ沈んでいたとしても、人が変わ...,0,0
9,2026/1/21 19:58,政治、社会問題,リンリン,5時間6分,2,24,12.0,0,1,0.078,8.33,0.01,0.5,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324533394,10年前の自分自身に教えても、信じなさそうな政治情勢の変化は何ですか？ 以下の①〜⑦の中で選んでください ①安倍晋三が非業の最期を遂げる ②自民党が衆参両院で過半数割れ ③石破茂と高市早苗が総理就任 ...,0,0
10,2026/1/21 19:58,携帯型ゲーム全般,未設定,5時間6分,2,9,4.5,0,0,0.029,22.22,0.0,0.35,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324533393,グノーシアのゲームでラキオが夕里子に歪みを正されているイベントがバグありにしても全然出てきません。セツの最後の特記事項以外は埋まっていて、夕里子の最後の特記事項だけ埋まりません。解決方法はありますか？,0,0
11,2026/1/21 19:58,数学,xl3********,5時間6分,2,23,11.5,0,0,0.075,8.7,0.01,0.4,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324533392,軌跡の問題です。 円が絡んでくると全くわからなくなります。 どのような感覚でらといているのでしょうか？,0,0
