質問日時,カテゴリ,投稿者名,経過時間,回答数,閲覧数,共感数,回答リアクション総数,注目度,回答競争率,注目/競争比,ランキングポテンシャル,受付終了まで,URL,本文冒頭
2026/1/12 15:59,料理、食材,うさっち,0分,0,0,0,0,0.0,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324212115,蒸篭を買おうと思ってます。 おすすめの蒸篭教えてください。
2026/1/12 15:59,メイク、コスメ,うらん,0分,0,0,0,0,0.0,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324212116,ディオールのコンシーラーは水なしパフで伸ばしますか？それとも水ありパフで伸ばしますか？ これから購入予定です。教えてください
2026/1/12 15:59,着物、和服,1149706721,0分,0,0,0,0,0.0,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324212114,今日、成人式だったのですが着付けしてもらってる最中に目の前が暗くなり、意識が遠のく感じがあって、冷や汗もかいて着付けを断念。 そのまま水を飲んだり横になったりして回復を待っていたのですが、大丈夫かなと...
2026/1/12 15:59,DIY,125156З516,0分,0,0,0,0,0.0,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324212112,アサヒペンの ・充填材 コンクリートカベ用 樹脂モルタル ・コンクリートカベ用樹脂モルタル の違いを教えてください。 充填材のほうは使用したことがあります。 質問の目的として、 モルタル外壁の窓枠から...
2026/1/12 15:59,伝統文化、伝統芸能,名無し,0分,0,0,0,0,0.0,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324212113,競技かるたについてです。 札の並べ方(横幅や縦幅の基準)がいまいちよくわからないので教えて欲しいです。調べると、87cmと出てくるのですが、分からなくなったら毎回メジャーなどで図る物ですか？実際に試合...
2026/1/12 15:59,スマートフォン,1052168584,0分,2,0,0,0,0.0,0.0,0.0,73.53,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324212111,大学生になったら、ギガはどのくらい使うことになるのでしょうか？ 現在高校生で、進路が決まり、大学からは通信料を自分で払わなければいけません。 今はdocomoで3GBのプランで、現在月1.6GBほど使...
2026/1/12 15:59,ソフトバンク,a83c71680,0分,0,0,0,0,0.0,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324212110,ソフトバンクでiPhone17を買う予定なんですけど、ローソンのpovoカードでギガをチャージすることってできますかる
2026/1/12 15:59,男性アイドル,R0827,0分,0,0,0,0,0.0,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324212108,ないです KEY TO LIT 猪狩蒼弥は写真のように耳に付けているのは、イヤリングですか？
2026/1/12 15:58,iPhone,知恵袋,1分,0,0,0,0,0.0,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324212107,airpods pro 3の新品未使用品を定価近くで買い取ってくれる業者があったら教えてほしいです。 ちなみにApple Store公式でネットで購入しました。注文のメールも残ってます。
2026/1/12 15:58,野球全般,るん,1分,0,1,0,0,0.735,0.0,0.0,0.42,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324212106,身長170センチは野球のユニフォームのサイズ何がベストですか
