ID,質問日時,カテゴリ,投稿者名,経過時間,回答数,閲覧数,回答難易度,共感数,回答リアクション総数,注目度,回答競争率,注目/競争比,ランキングポテンシャル,受付終了まで,URL,本文冒頭,マイフラグ,ベストアンサーフラグ
1,2026/1/18 19:42,コミック,1153168524,4時間59分,0,1,1.0,0,0,0.003,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324425369,ABEMAマンガの本がオフラインで読める方法を教えてください,0,0
2,2026/1/18 19:42,ゲーム,sakurada familia,4時間59分,1,5,5.0,0,0,0.017,20.0,0.0,0.18,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324425368,東方ロストワードについて質問です。 今回のふくれいこいし120れべクリアできませんどうしたら良いですか？,0,0
4,2026/1/18 19:42,K-POP、アジア,m_y********,4時間59分,0,39,39.0,0,0,0.13,0.0,0.0,0.13,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324425366,BTSワールドツアーグッズについて！ ワールドツアーグッズ販売されると思いますが、友達に聞いたところ、前のライブでは予約制だが買えもしなかったと聞きました…！ 応募もまだですし、妄想ですが(笑) もし...,0,0
5,2026/1/18 19:42,恋愛相談、人間関係の悩み,非公開,4時間59分,1,27,27.0,0,2,0.09,3.7,0.02,0.46,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324425365,恋愛相談です。長文失礼します。 私は大学2年生の男で、相手は小中の同級生の女性です。私は地元を離れて一人暮らし、相手は地元に住んでいます。 中学の頃、同じ男女グループに属しておりよく遊んだ仲で、私も相...,0,0
6,2026/1/18 19:42,健康、病気、病院,1251906461,4時間59分,1,9,9.0,0,3,0.03,11.11,0.0,0.5,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324425364,乙武洋匡さんがよくネタにする「五体不満足」って、 手足2本ずつで四体はあるとして残りの一体ってどこを指してるんですか？,0,0
7,2026/1/18 19:42,結婚,nan********,4時間59分,3,12,4.0,0,1,0.04,25.0,0.0,0.64,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324425363,結婚することは、面倒事を自ら抱え込むことになる？,0,0
8,2026/1/18 19:42,観光地、行楽地,a298c2b4b,4時間59分,1,7,7.0,0,0,0.023,14.29,0.0,0.19,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324425362,「海の水は綺麗」って言う人がいます。 海水よりトイレの水の方が一般生菌は少ないです。 トイレの水の方が綺麗では？,0,0
9,2026/1/18 19:42,X（旧Twitter）,ある,4時間59分,1,36,36.0,0,0,0.12,2.78,0.04,0.29,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324425361,Xでメインとして使っていたアカウントが凍結されてしまいました。 ポストをせずリポストやいいね、ブックマークしかしていないアカウントだったので、誤凍結だと思い異議申し立てをしてもXからのメールが届かず、...,0,0
10,2026/1/18 19:42,恋愛相談、人間関係の悩み,b455c26af,5時間0分,1,8,8.0,0,1,0.027,12.5,0.0,0.29,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324425360,中学生で付き合う前の女の子から誕プレをもらってそのあと僕から告白して付き合いました。 でももう何ヶ月かして好きじゃなくなったので別れたんですけど誕プレを貰ったからお返しとして何か渡した方が良いと友達か...,0,0
12,2026/1/18 19:42,簿記,1151233218,5時間0分,2,53,26.5,0,0,0.177,3.77,0.05,0.51,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324425358,税理士試験の簿記論について相談です。 過去に日商簿記2級に不合格になっています。 現在は税理士事務所で勤務しており、来年に簿記論を受験したいと思っています 簿記2級に合格してから簿記論を始めるべきか、...,0,0
