ID,質問日時,カテゴリ,投稿者名,経過時間,回答数,閲覧数,回答難易度,共感数,回答リアクション総数,注目度,回答競争率,注目/競争比,ランキングポテンシャル,受付終了まで,URL,本文冒頭,マイフラグ,ベストアンサーフラグ
1,2026/1/19 7:40,大学受験,1151416899,6時間27分,0,70,70.0,0,0,0.181,0.0,0.0,0.18,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324442327,共通テストの後期のことなのですが、 国語が158or150 地理91 政治経済79でした。 この点数で東北大の後期経済学部の出願の足切りは、突破できますか？,0,0
2,2026/1/19 7:40,大学受験,cqlsy,6時間27分,1,386,386.0,0,0,0.997,0.26,3.83,1.12,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324442326,共通テストリサーチのボーダーについてです。 A〜E判定まで、ボーダーとの差がどれくらいだとそれぞれのような判定になるのですか？ また、今年の共通テストのボーダーは何パーセントくらい変化すると思いますか...,0,0
3,2026/1/19 7:40,韓国・朝鮮語,非公開,6時間27分,0,17,17.0,0,0,0.044,0.0,0.0,0.04,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324442325,至急です。 韓国のネッ友と電話をしている時に緊急地震速報が鳴るとすると相手の方にも聞こえますか？ 聞こえるとしたらどのくらいの大きさで聞こえるんでしょうか？相手もびっくりするんでしょうか？,0,0
4,2026/1/19 7:40,郵便、宅配,dom********,6時間27分,5,34,6.8,0,3,0.088,14.71,0.01,0.96,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324442324,配達物について質問です。 つい先程ヤマト運輸のメッセージにて荷物の配達のメッセージが来ました。 メルカリやQoo10、SHEINなど利用しておりますがどれも日本郵便やまだ未発送の物ばかりで心当たりがな...,0,0
5,2026/1/19 7:40,恋愛相談、人間関係の悩み,b60780a5d,6時間27分,5,55,11.0,0,0,0.142,9.09,0.02,0.79,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324442323,アラサーでマッチングアプリをしてますが出会う男性どれも癖の強い人ばかりです。 優しいけど借金がある人、常識がなくてマナーを守らないし口悪い人、生まれて間もない子供がいるのに女探ししてるシンパパ男性、自...,0,0
6,2026/1/19 7:40,学校の悩み,af865a83e,6時間27分,0,17,17.0,0,0,0.044,0.0,0.0,0.04,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324442322,高校受験生です。推薦入試1週間前、学校に休もうか悩んでます。 今日月曜日なのですが、金曜日に仲が良く話していた子の1人がインフルエンザで、潜伏期間が今日までということと、インフルの濃厚接触者の子が学校...,0,0
7,2026/1/19 7:40,爬虫類、両生類,R,6時間27分,1,12,12.0,0,0,0.031,8.33,0.0,0.16,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324442320,ヤドクガエルについて質問です。 ヤドクガエルの餌として産まれたばかりのレッドローチは使えますか？,0,0
8,2026/1/19 7:40,日本史,kaw********,6時間27分,4,32,8.0,0,3,0.083,12.5,0.01,0.83,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324442321,清洲会議で丹羽長秀と池田恒興は豊臣秀吉から根回し工作を受けていたんですか？ 或いは自分の意志で秀吉サイドに回ったんですか？,0,0
9,2026/1/19 7:40,病気、症状,1574********,6時間27分,4,28,7.0,1,6,0.072,14.29,0.01,1.31,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324442319,大病になった事で、今までとは考え方が変わったり、気付いた事ってありますか？,0,0
10,2026/1/19 7:40,Yahoo!知恵袋,lD非公開,6時間27分,3,56,18.7,0,13,0.144,5.36,0.03,1.53,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324442317,知恵袋の質問者で、チャットGPTの回答をそのまま貼り付けた回答を いとも簡単にBAに選んでしまう人が結構います。 そういう質問者って、知恵袋で質問するのではなく チャットGPTで独りでやってればいいの...,0,0
